System,Legitimacy,Decision-making,Resource allocation,Defense,Military Technology,Information,Social integration,Succession,Adaptability,Long-Term Stewardship,Transboundary Coordination,Existential Risk Mitigation,Epistemic Governance
Akan Amanhene Gold States,Sacred Commerce Monarchy,Ordeal trials,Spiritual authority,Standing army,Adinkra symbols,Sacred groves,Ancestor worship,Elective,Syncretism: Sacred commerce monarchy (gold stools),Gold-trading kingdoms with sacred stool rituals,Ashanti, Mali Empire,<unknown>
Jukun Aku Oracle Kings,Hydraulic Theocracy,Divination rites,Ritual authority,Standing army,Rainmaking staffs,Floodplain farming,Jukun religion,Hereditary,Crisis Innovation: Hydraulic theocracy (flood control),Divine kings controlling Benue River floods,Shang dynasty, Olmec,<unknown>
Kiribati Maneaba Councils,Coral Communalism,Dance mediation,Consensus building,Tribal militias,Shell money,Tide cycle management,Animism,Rotation,Crisis Innovation: Coral slab consensus governance,Communal meeting houses with coral slab seating,Iroquois longhouses, Greek stoas,<unknown>
Vlax Rom Baro Systems,Tribal Gerontocracy,Kris trials,Kin networks,Tribal militias,Family councils,None,Orthodox Christianity,Hereditary,Collapse/Rebirth: Tribal gerontocracy (mobile clans),"Patriarchal clan alliances with elected ""big men""",Bedouin sheikhs, Corsican clans,<unknown>
Aztec Triple Alliance,Tributary Stratocracy,Tlaxcalan courts,Military prowess,Permanent warrior class,Poetry contests,Chinampas,Aztec religion,Elective,Syncretism: Tributary stratocracy + flower wars,Military confederacy with flower wars and sacrifice,Spartan league, Iroquois confederacy,<unknown>
Ryukyu Gusuku Trade Kingdom,Diplomatic Autonomy,Poetry contests,Trade neutrality,Naval forces,Peabody books,Coral reef protection,Ryukyuan religion,Hereditary,Syncretism: Diplomatic autonomy (China/Japan/Siam),Tribute state balancing China/Japan/S.E. Asia,Venetian Republic,<unknown>,<unknown>  
Ryukyu Maritime Tributary,Diplomatic Autonomy,Poetry contests,Neutrality diplomacy,Naval forces,Pleiades star charts,Coral reef taboos,Ryukyuan animism,Hereditary,Syncretism: Neutrality diplomacy (multi-state balance),Island kingdom balancing China, Japan,<unknown>,<unknown>  
Inca Tawantinsuyu,Labor Autocracy,Mit'a service,State redistribution,Standing army,Quipu accounting,Terrace farming,Inca religion,Hereditary,Reform: Labor autocracy (mit'a system),Socialist empire with state warehouses and labor taxes,Soviet kolkhozes, Egyptian corvée,<unknown>
Ottoman Millet System,Confessional Autonomy,Sharia courts,Gunpowder weapons,Standing army,Firman decrees,Water fountains,Sunni Islam,Dynastic,Syncretism: Confessional autonomy (religious pluralism),Religious autonomies under centralized Muslim rule,Habsburg pluralism, Mughal sulh-i-kul,<unknown>
Pampas Querandí Nomadism,Pastoral Egalitarianism,Running contests,Equine mobility,Temporary war parties,Bola tallies,Grassland burning,Animism,Consensus,Collapse/Rebirth: Pastoral egalitarianism post-horses,Mobile hunter bands with shared grazing rights,Comanche, Mongol nutug,<unknown>
Breton Parish Closes,Sacred Communalism,Pardon ceremonies,Religious taxes,Religious militias,Churchwarden votes,Calvary sculptures,Catholicism,Rotation,Reform: Sacred communalism (walled churchyards),Village theocracies managing enclos paroissiaux (walled churchyards),Irish monastic settlements, Spanish cofradías,<unknown>
Sami Reindeer Herding Units,Nomadic Commons,Elder mediation,Customary law,Tribal militias,Siida councils,Seasonal migration,Sami animism,Consensus,Crisis Innovation: Nomadic commons (Arctic grazing),Pastoral cooperatives managing Arctic grazing lands,Mongolian nutug, Swiss alpine communes,<unknown>
Shilluk Divine Kingship,Fluid Theocracy,Ritual drowning,Spiritual embodiment,Standing army,Spear ordeals,Nile flood recession,Nyikang cult,Elective,Syncretism: Fluid theocracy (river spirit embodiment),Sacred kings (reth) embodying river spirit Nyikang,Egyptian pharaohs, Jukun aku,<unknown>
Sinti Musical Guilds,Caste Corporatism,Artistic duels,Artistic purity,Tribal militias,Guild rules,None,Protestantism,Apprenticeship,Collapse/Rebirth: Caste corporatism (persecution response),Endogamous musician families with strict apprenticeship,Medieval minstrels, Indian gharanas,<unknown>
Kalderash Gold-Smithing Dynasties,Transnational Guildism,Gold purity tests,Technical secrets,Tribal militias,Kinship contracts,None,Orthodox Christianity,Matrilocal,Syncretism: Transnational guildism (metalwork clans),Metallurgy clans with transnational marriage alliances,Hindu jatis, Venetian guilds,<unknown>
Sennar Funj Sultanate,Military Syncretism,Camel duels,Martial Islam,Standing army,Arabic-Meroitic scrolls,Flood recession farming,Islam-Meroitic,Usurpation,Syncretism: Military syncretism (Islamicized Kushite),Nile-based slave soldiers ruling via Islamicized Kushite rites,Mamluk Egypt, Bornu,<unknown>
Mughal Mansabdari System,Ranked Feudalism,Qazi courts,Cavalry ranks,Standing army,Dashtera rolls,Stepwells,Islam,Appointment,Reform: Ranked feudalism (military bureaucracy),Rank-based military bureaucracy with land revenue,Ottoman timar, Qin commanderies,<unknown>
Habsburg Composite Monarchy,Personal Union,Reichsrat courts,Dynastic marriage,Standing army,Familienpakt decrees,Wine terraces,Catholicism,Hereditary,Syncretism: Personal union (dynastic pluralism),Dynastic union of disparate kingdoms under one crown,British Empire, EU,<unknown>
Cossack Sich Republic,Military Democracy,Whipping posts,Cossack liberty,Temporary war parties,Rada assemblies,Steppe patrols,Orthodox Christianity,Election,Reform: Military democracy (elected hetmans),Self-governing warrior communes with elected hetmans,Swiss cantons, Pirate articles,<unknown>
Mapuche Parlamento Confederacy,Diplomatic Federation,Combat trials,Military prestige,Tribal militias,Silver-tipped staff debates,Forest management,Mapuche religion,Consensus,Crisis Innovation: Diplomatic federation (treaty systems),Inter-tribal assemblies with Spanish-Mapudungun treaties,Iroquois confederacy, Swiss cantons,<unknown>
Polish-Lithuanian Elective Monarchy,Szlachta Democracy,Land courts,Noble consensus,Standing army,Sejm debates,Forest management,Catholicism,Elective,Reform: Szlachta democracy (noble elections),Nobility-elected kings with liberum veto,Holy Roman Empire, Papal conclave,<unknown>
Powhatan Paramount Chiefdom,Hierarchical Chiefdom,Tribute ceremonies,Tribute wealth,Tribal militias,Wampum belts,Fire-stick farming,Algonquian animism,Matrilineal,Syncretism: Hierarchical chiefdom (tributary network),Tributary network under werowance (paramount chief),Hawaiian ali'i, West African kingdoms,<unknown>
Dutch Republic States-General,Confederal Oligarchy,Admiralty courts,Trade wealth,Naval forces,Stadtholder debates,Dike maintenance,Calvinism,Appointment,Reform: Confederal oligarchy (provincial veto),Merchant oligarchy with provincial veto powers,Venetian Republic, Swiss cantons,<unknown>
Luba Bambudye Memory State,Mnemocratic Oligarchy,Initiation trials,Secret knowledge,Standing army,Beaded codex,Fish-trap engineering,Ancestor worship,Co-optation,Crisis Innovation: Mnemocratic oligarchy (lukasa boards),Elders encoding laws in lukasa memory boards,Inca quipu, Druidic ogham,<unknown>
Tahitian Arioi Society,Ritual Performance Oligarchy,Dance-offs,Artistic skill,Tribal militias,Chant competitions,Sacred groves,Polynesian religion,Initiation,Collapse/Rebirth: Ritual performance oligarchy,Elite artist-priests enforcing taboo systems,Druidic bards, Japanese tengu,<unknown>
Maroon Palenque Republics,Military Communalism,Combat trials,Defensive prowess,Tribal militias,Palisade votes,Jungle farming,Syncretic religions,Election,Collapse/Rebirth: Military communalism (escaped slaves),Escaped slave communities with elected warlords,Spartan agōgē, Haitian revolution,<unknown>
Lunda Ruwej Matrilineacy,Gynocentric Federation,Dance arbitration,Matrilineal bloodline,Standing army,Drum codes,Forest corridors,Ancestor worship,Appointment,Reform: Gynocentric federation (female rulers),Female rulers (Ruwej) appointing male warlords,Khasi clans, Mosuo,<unknown>
Dahomey Mino Amazon State,Gynocratic Stratocracy,Combat trials,Military prowess,Permanent warrior class,Appliqué cloth records,Sacred forests,Vodun,Appointment,Reform: Gynocratic stratocracy (female regiments),All-female regiments (Mino) with king-veto power,Spartan women, Byzantine empresses,<unknown>
Kuba Bushong Cloth Kings,Artistic Monarchy,Mask performances,Creative prestige,Standing army,Ivory accounting,Forest reserves,Bushoong religion,Hereditary,Crisis Innovation: Artistic monarchy (textile currency),Raffia textile currency regulated by royal artists,Byzantine silk guilds, Inca quipu,<unknown>
Imbangala Kilombo,Age-Set Stratocracy,Combat trials,Military prowess,Permanent warrior class,Initiation scars,Maroon agriculture,Syncretic animism,Age grades,Collapse/Rebirth: Age-set stratocracy (youth camps),Military youth camps transforming into states,Spartan agōgē, Zulu impi,<unknown>
Romanichal Wagon Republics,Wagon Democracy,Tribunal fires,Mobility,Tribal militias,Unwritten codes,Roadside foraging,Methodism,Consensus,Collapse/Rebirth: Wagon democracy (mobile law),Mobile wagon circles with horse-trading laws,Berber caravans, Boer trekkers,<unknown>
Koryak Reindeer-Oracle System,Zoomantic Theocracy,Spirit battles,Animal omens,Tribal militias,Shoulder blade divination,Tundra burning,Animism,Charismatic,Crisis Innovation: Zoomantic theocracy,Shamans interpreting reindeer behavior for decisions,Siberian Yukaghir, Sami noaidi,<unknown>
Ket Yenisei Fish-Taboo Councils,Fluvial Taboo Communism,Shamanic trials,Spiritual ecology,Tribal militias,Notched stick records,Spawning bans,Animism,Consensus,Crisis Innovation: Fluvial taboo communism,Siberian river clans enforcing piscatorial sacred laws,Ainu, Northwest Coast tribes,<unknown>
Lozi Litunga Flood Kings,Hydro-Monarchy,River oracles,Flood control,Standing army,Drum signals,Levee construction,Nyambe worship,Hereditary,Crisis Innovation: Hydro-monarchy (flood migrations),Divine kings managing Zambezi floods via seasonal migrations,Egyptian pharaohs, Khmer hydraulics,<unknown>
Tokugawa Bakufu,Stratocratic Feudalism,Samurai courts,Daimyō hostages,Standing army,Sankin-kōtai,Coppice forestry,Shinto/Confucianism,Hereditary,Reform: Stratocratic feudalism (hostage system),Feudal military rule with sankin-kōtai hostage system,Spartan diarchy, Chinese commanderies,<unknown>
Tokugawa Sankin-Kotai,Stratocratic Feudalism,Seppuku rituals,Gunpowder control,Standing army,Alternate attendance laws,Coppice forestry,Neo-Confucianism,Hereditary,Reform: Alternate attendance control,Daimyo hostage system ensuring feudal loyalty,Qin legalism, Ottoman devshirme,<unknown>
Bermudian Parliamentary Hybrid,Colonial Democracy,Privy Council appeals,Crown appointment,Naval forces,Two-tier voting,Coral reef protection,Protestantism,Elections,Syncretism: Colonial democracy (electoral college),Oldest British overseas legislature with unique electoral college,UK Parliament, US electoral college,<unknown>
Kalmyk Khanate Nomadic Parliament,Lamaist Nomadism,Meditation debates,Reincarnation lineage,Temporary war parties,Tibetan scrolls,Desert wells,Vajrayana Buddhism,Elective,Syncretism: Lamaist nomadism (mobile assembly),Buddhist steppe state with mobile assembly tents,Tibetan theocracy, Mongol kurultai,<unknown>
Qing Lifan Yuan Tributaries,Imperial Indirect Rule,Fealty ceremonies,Tribal loyalty,Standing army,Manchu documents,Grassland bans,Lamaism,Appointment,Reform: Imperial indirect rule (tributary management),Manchu agency managing Mongol/Tibetan/Uyghur vassals,British Raj, Roman foederati,<unknown>
Tibetan Ganden Phodrang,Monastic Theocracy,Kashag courts,Reincarnation lineage,Religious militias,Monk assemblies,Snow lion conservation,Vajrayana Buddhism,Appointment,Syncretism: Monastic theocracy (reincarnation lineage),Buddhist monastic state under Dalai Lama's rule,Papal States, Khmer devaraja,<unknown>
Qing Dynasty Banner System,Ethnocratic Meritocracy,Censorate courts,Ethnic privilege,Standing army,Imperial exams,Granaries,Confucianism,Hereditary,Reform: Ethnocratic meritocracy (banner hierarchy),Ethnic-military caste hierarchy under Confucian bureaucracy,Ottoman janissaries, Soviet nomenklatura,<unknown>
Leveller Agitators,Revolutionary Democracy,Council votes,Popular sovereignty,Revolutionary militias,Pamphlet debates,Common land,Protestantism,Election,Collapse/Rebirth: Revolutionary democracy (army radicals),Radical soldier-democrats drafting People's Agreements,Athenian democracy, Paris Commune,<unknown>
Digger Communes,Pre-Marxist Communism,Nonviolence,Land equity,Non-violent resistance,Manifesto writing,Collective planting,Christian radicalism,Consensus,Collapse/Rebirth: Pre-Marxist communism (land collectives),Agrarian socialists cultivating common land,Kibbutzim, Zapatista caracoles,<unknown>
Pirate Articles,Nautical Democracy,Marlinspike tribunals,Combat skill,Naval forces,Quartermaster votes,None,Situational ethics,Election,Reform: Nautical democracy (elected captains),Shipboard democracies with elected captains and loot shares,Swiss cantons, Viking things,<unknown>
Barbuda Communal Land System,Communal Land Trust,Elder mediation,Tradition,Tribal militias,Town hall votes,Mangrove protection,Anglican,Consensus,Crisis Innovation: Communal land trust (post-slavery),Caribbean island with collective land ownership since slavery,Israeli kibbutz, Andean ayllu,<unknown>
British Parliamentary System,Representative Democracy,Common law,Class privilege,Standing army,Party whips,Enclosure acts,Protestantism,Elections,Reform: Representative democracy (constitutional evolution),Constitutional monarchy with party-based ministerial rule,Swedish Riksdag, Japanese Diet,<unknown>
Blackfoot Confederacy,Plains Federation,Mediation circles,Military reciprocity,Tribal militias,Pictographic calendars,Prairie burning,Blackfoot spirituality,Consensus,Crisis Innovation: Plains federation (buffalo-hunting alliance),Intertribal buffalo-hunting alliance with warrior societies,Iroquois league, Mongol kurultai,<unknown>
Haida Potlatch Governance,Prestige Hierarchy,Shaming rituals,Accumulated wealth,Tribal militias,Gift feasts,Forest stewardship,Animism,Competitive,Crisis Innovation: Prestige hierarchy (wealth redistribution),Ranked gift-giving system redistributing wealth,Pacific Northwest potlatch, Bronze Age prestige economies,<unknown>
Tlingit Potlatch Confederacy,Prestige Hierarchy,Shaming rituals,Wealth destruction,Tribal militias,Crest pole carving,Forest stewardship,Animism,Inheritance,Crisis Innovation: Clan-based gift economy,Clan-based gift economies with totemic crests,Haida, Kwakwakaʼwakw,<unknown>
Merina Andriana Castes,Hydro-Aristocracy,Trial by poison,Rice symbolism,Standing army,Oracle rice,Irrigation systems,Malagasy animism,Hereditary,Reform: Hydro-aristocracy (rice irrigation hierarchy),Hierarchical clans under sacred rice kings,Hindu varnas, Polynesian ali'i,<unknown>
Chukchi Whalebone Assemblies,Cetacean Democracy,Ordeal by cold,Bone architecture,Tribal militias,Rib engravings,Shoreline quotas,Shamanism,Consensus,Crisis Innovation: Cetacean democracy (whale-rib councils),Coastal clans governing via whale-rib meeting circles,Inuit, Koryak,<unknown>
Tswana Kgotla,Consensual Chiefdom,Elder mediation,Tribal authority,Tribal militias,Town hall debates,Rangeland management,African traditional,Inheritance,Reform: Consensual chiefdom (public assemblies),Public assembly dispute resolution under kgosi (chiefs),Igbo assemblies, Athenian ecclesia,<unknown>
Malagasy Fokonolona,Agrarian Communalism,Tangena trials,Social harmony,Tribal militias,Elder councils,Terraced irrigation,Ancestor worship,Consensus,Crisis Innovation: Agrarian communalism (taboo enforcement),Village assemblies enforcing taboos and rice terracing,Balinese subak, Japanese mura,<unknown>
Fante Asafo Companies,Corporate Militarism,Satire songs,Social pressure,Tribal militias,Flag communication,Sacred lagoons,Ancestor worship,Election,Reform: Corporate militarism (militia guilds),Militia guilds balancing chiefly power through satire,Zulu impi, Venetian arsenal,<unknown>
Vanuatu Nimangki Grade-taking,Prestige Economy,Pig-killing rites,Gift accumulation,Tribal militias,Tusk-shaped money,Forest gardening,Animism,Competitive,Crisis Innovation: Prestige economy (competitive feasting),Competitive feasting system for status advancement,Potlatch, Kwakiutl,<unknown>
Irish Traveller Cant Systems,Oral Microstates,Fistfighting,Kin loyalty,Tribal militias,Cant negotiations,None,Catholicism,Patriarchal,Collapse/Rebirth: Oral microstates (secret languages),Extended family units with secret trading languages,Shelta, Polari,<unknown>
Arctic Nenets Yamal Councils,Antler Democracy,Ritual combat,Animal wealth,Tribal militias,Bone notches,Permafrost protection,Shamanism,Consensus,Crisis Innovation: Antler democracy (reindeer tallies),Tundra nomads voting via reindeer-antler tallies,Inuit qaggiq, Sami siida,<unknown>
Ashanti Golden Stool Confederacy,Ritual Federation,Ordeal trials,Spiritual authority,Standing army,Adinkra symbols,Sacred groves,Ancestor worship,Elective,Syncretism: Ritual federation (sacred stool),Sacred stool unifying 50 states under oath-sworn vassals,Holy Roman Empire, Iroquois league,<unknown>
Sikh Misldar Confederacy,Military Democracy,Akal Takht courts,Cavalry shares,Tribal militias,Gurmata votes,Canals,Sikhism,Election,Reform: Military democracy (warrior collectives),Warrior-chieftain collectives pooling military resources,Iroquois league, Cossack hosts,<unknown>
Liechtenstein Direct Monarchy,Monarchical Democracy,Royal courts,Dynastic wealth,Standing army,Popular referendums,Alpine conservation,Catholicism,Initiative,Reform: Monarchical democracy (citizen veto),Microstate where citizens can veto/privatize government,Swiss cantons, Venetian republic,<unknown>
Aleut Unangan Whalebone Chiefs,Maritime Oligarchy,Harpoon duels,Whale wealth,Tribal militias,Bone ledger carvings,Kelp forest bans,Animism,Hereditary,Reform: Communal theocracy (tithing economy),Whale-hunting aristocrats ruling via jawbone thrones,Tlingit, Haida,<unknown>
Konbaung Hluttaw,Bureaucratic Absolutism,Foot-kissing ceremonies,Royal patronage,Standing army,Palm-leaf decrees,Irrigation canals,Theravada Buddhism,Appointment,Crisis Innovation: Maritime oligarchy (whalebone rule),King-controlled parliament of ministerial slaves,Siamese sakdina, Persian divan,<unknown>
Metis Buffalo Councils,Pastoral Democracy,Jigging contests,Hunting skill,Tribal militias,Winter count skins,Grassland conservation,Catholic/Animism,Election,Reform: Bureaucratic absolutism (ministerial slaves),Mixed-ethnicity hunters governing through buffalo hunts,Cossack hosts, Cowboy collectives,<unknown>
Haitian Revolutionary Councils,Revolutionary Communalism,Popular tribunals,Military charisma,Revolutionary militias,Assembly debates,Soil conservation,Vodou/French Rev.,Election,Crisis Innovation: Pastoral democracy (buffalo hunts),Slave revolt committees evolving into constitutional rule,Soviet soviets, Paris Commune,<unknown>
Freetown Settler Democracy,Creole Republic,Jury trials,Black Loyalist ethos,Standing army,Town meetings,Swamp drainage,Protestantism,Election,Collapse/Rebirth: Revolutionary communalism (slave revolt),Liberated slave self-rule with hybrid Akan-British systems,Haitian revolution, Liberian settlement,<unknown>
Batavian Republic,Revolutionary Republic,Revolutionary courts,Enlightenment ideals,Standing army,National Assembly votes,Polder drainage,Secularism,Coup d'état,Collapse/Rebirth: Creole republic (liberated slaves),French-backed revolutionary unitary state,American Republic, Roman Republic,<unknown>
Napoleonic Meritocracy,Revolutionary Technocracy,Court martial,Military merit,Standing army,Lycée exams,Road building,Secularism,Appointment,Collapse/Rebirth: Revolutionary republic (French-backed),Technocratic empire with standardized exams and titles,Chinese keju, Prussian bureaucracy,<unknown>
Cheyenne Council of 44,Tribal Federation,Mediation circles,Moral authority,Tribal militias,Consensus councils,Buffalo conservation,Native spirituality,Election,Reform: Revolutionary technocracy (standardized exams),Intertribal peace chiefs with military societies,Iroquois confederacy, Greek amphictyonies,<unknown>
Palauan Stone Money Yap,Lithic Monetaryism,Oral contracts,Wealth display,Tribal militias,Rai stone ledgers,Lagoon conservation,Animism,Inheritance,Crisis Innovation: Tribal federation (peace chiefs),Limestone disc currency governing social hierarchy,Bitcoin, Rosetta Stone,<unknown>
Yenish Horse-Tribes,Seasonal Tribalism,Mediation fairs,Route knowledge,Tribal militias,Sign languages,Mountain routes,Syncretic,Consensus,Crisis Innovation: Lithic monetaryism (stone currency),Alpine peddler networks with winter assembly sites,Sami siida, Appalachian traders,<unknown>
Scottish Traveller Peat Laws,Resource Customalism,Fistfights,Ancestral rights,Tribal militias,Unwritten boundaries,Bog conservation,Presbyterianism,Inheritance,Collapse/Rebirth: Seasonal tribalism (peddler networks),Turf-cutting territories governed by elder families,Inuit hunting grounds, Aboriginal songlines,<unknown>
Åland Islands Neutrality,Insular Neutralism,Conciliation boards,Diplomatic status,Non-violent resistance,Treaty referendums,Marine conservation,Lutheranism,Treaty-based,Crisis Innovation: Resource customalism (turf territories),Demilitarized archipelago with rotating Nordic oversight,Liechtenstein, Andorra,<unknown>
Zanzibar Clove Plantation Councils,Plutocratic Plantocracy,Kadhi courts,Slave labor,Standing army,Majlis debates,Coral stone aqueducts,Islam,Hereditary,Reform: Insular neutralism (Nordic oversight),Arab-Omani landowners ruling via spice trade monopolies,Caribbean sugar councils, Venetian galley system,<unknown>
Zulu Impi Regiments,Gerontocratic Militarism,Combat trials,Age hierarchy,Permanent warrior class,Induna councils,Kraal rotation,Ancestor worship,Appointment,Syncretism: Plutocratic plantocracy (spice monopolies),Age-grade warrior bands replacing tribal structures,Spartan agōgē, Ottoman janissaries,<unknown>
Utopian Socialist Colonies,Intentional Communities,Public confessions,Labor notes,Non-violent resistance,Constitution drafts,Orchards,Christian socialism,Consensus,Reform: Gerontocratic militarism (age-grade regiments),Experimental communes with shared property,Kibbutzim, Fourier phalanxes,<unknown>
Cherokee Constitutional Republic,Assimilationist Democracy,Circuit courts,Literacy,Tribal militias,Sequoyah script,Forest management,Christian/Animist,Election,Collapse/Rebirth: Intentional communities (experimental),Native American constitutional state with syllabic writing,US government, Iroquois league,<unknown>
Maohi Tapu System,Neo-Traditional Theocracy,Elder mediation,Cultural revival,Tribal militias,Oral proclamations,Coral reef bans,Maohi religion,Consensus,Reform: Assimilationist democracy (syllabic writing),Revived traditional sacred prohibitions (tapu),Hawaiian kapu, Māori rahui,<unknown>
Sorbian Serbski Sejm,Ethnic Autonomy,Folk courts,Language rights,Tribal militias,Cultural votes,Wendish schools,Lutheranism,Election,Reform: Neo-traditional theocracy (revived tapu),Slavic minority parliament under German/Saxon rule,Welsh Eisteddfod, Sami assemblies,<unknown>
Swiss Consensus Democracy,Consociationalism,Federal courts,Cantonal power,Citizen militia,Popular initiatives,Alpine conservation,Protestantism,Rotation,Collapse/Rebirth: Ethnic autonomy (Slavic minority),Direct democracy with rotating executive and veto points,Iroquois confederacy, Athenian democracy,<unknown>
Manush Circus Kingdoms,Showmanship Autocracy,Acrobatic duels,Artistic lineage,Tribal militias,Family charters,None,Catholicism,Hereditary,Reform: Consociationalism (direct democracy),Circus families with hereditary performance rights,Indian kalaripayattu, Japanese kabuki,<unknown>
Taiping Heavenly Kingdom,Millenarian Socialism,Self-criticism sessions,Charismatic leadership,Revolutionary militias,Land reform edicts,Collective farming,Syncretic Christianity,Appointment,Collapse/Rebirth: Showmanship autocracy (performance dynasties),Christian revolutionary state with gender equality,Munster rebellion, Paris Commune,<unknown>
Liechtenstein Direct Democracy,Constitutional Principality,Landtag courts,Dual sovereignty,Standing army,Popular initiatives,Alpine conservation,Catholicism,Referendum,Collapse/Rebirth: Millenarian socialism (Christian revolt),Microstate with citizen-initiated referendums and princely veto,Swiss cantons, Athenian democracy,<unknown>
Meiji Oligarchy,Developmental Autocracy,Imperial courts,Industrial cliques,Standing army,Ito Constitution,Rail networks,State Shinto,Hereditary,Reform: Constitutional principality (referendums),Westernizing technocrats ruling through emperor,Prussian reformers, Chinese Self-Strengthening,<unknown>
Paris Commune,Proletarian Dictatorship,People's tribunals,Labor power,Revolutionary militias,District assemblies,Workshop control,Secularism,Election,Reform: Developmental autocracy (Westernizing),Revolutionary socialist direct democracy (72-day experiment,Soviet workers' councils, Rojava communes,<unknown>
Bamum Scriptocracy,Graphic Autocracy,Calligraphy duels,Literacy control,Standing army,Shümom script,Fishpond engineering,Bamum religion,Appointment,Collapse/Rebirth: Proletarian dictatorship (72-day experiment),Literate autocracy with invented writing system,Korean hangul, Cherokee syllabary,<unknown>
Pavee Road Councils,Itinerant Contractalism,Wall punching,Labor solidarity,Tribal militias,Handshake deals,None,Christianity,Consensus,Reform: Graphic autocracy (invented script),Asphalt-laying collectives with mobile dispute systems,Navajo road crews, Afghan kuchis,<unknown>
Kibbutz Movement,Utopian Communalism,Mediation teams,Labor equality,Non-violent resistance,General assembly,Vegan farming,Judaism/Communism,Rotation,Collapse/Rebirth: Itinerant contractualism (road crews),Voluntary socialist communes with rotating leadership,Hutterite colonies, Spanish collectives,<unknown>
Weimar Coalition Governance,Parliamentary Democracy,Constitutional courts,Party factions,Standing army,Reichstag votes,Welfare state,Secularism,Elections,Reform: Utopian communalism (rotating leadership),Fragile proportional democracy with emergency decrees,Israeli Knesset, French Fourth Republic,<unknown>
Tuvan People's Republic,Nomadic Socialist Republic,People's courts,Labor credits,Tribal militias,Khural votes,Steppe conservation,Vajrayana Buddhism,Election,Collapse/Rebirth: Parliamentary democracy (fragile),Buddhist-socialist nomadic state under Soviet protection,Mongolian PR, Tibetan theocracy,<unknown>
Soviet Republics System,Federal Socialist Autocracy,People's Courts,Party nomenklatura,Standing army,Politburo votes,Five-Year Plans,State Atheism,Appointment,Syncretism: Nomadic socialist republic (Buddhist-socialist),Ethno-territorial autonomies under centralized party rule,Austro-Hungarian dualism, EU federalism,<unknown>
UN Trusteeship Councils,Tutelary Democracy,Adjudication panels,Great Power oversight,Standing army,Petition systems,Land reform,Secularism,Appointment,Reform: Federal socialist autocracy (ethno-territorial),Decolonization oversight with graduated self-rule,League mandates, EU enlargement committees,<unknown>
United Nations Security Council,Oligarchic Multilateralism,ICJ rulings,P5 privilege,Standing army,Veto voting,Climate accords,Secularism,Permanent seats,Reform: Tutelary democracy (decolonization),Great-power veto system with peacekeeping forces,Concert of Europe, HRE Imperial Diet,<unknown>
Apartheid Bantustans,Racial Autocracy,Tribal courts,White supremacy,Standing army,Pass laws,Homeland councils,Dutch Reformed,Appointment,Syncretism: Oligarchic multilateralism (veto system),Ethnically segregated puppet states under white rule,US Jim Crow, Israeli settlements,<unknown>
Tokelau Village Atoll Consensus,Micro-Atoll Democracy,Shared meals,Maritime equity,Non-violent resistance,Consensus meetings,Lagoon protection,Christianity,Rotation,Collapse/Rebirth: Racial autocracy (puppet states),Rotating leadership among three coral atolls,Swiss cantons, Iroquois league,<unknown>
Cuban Revolutionary Committees,Revolutionary Corporatism,People's tribunals,Party loyalty,Standing army,CDR meetings,Urban gardens,Marxism,Appointment,Crisis Innovation: Micro-atoll democracy (rotation),Block-level surveillance and welfare distribution system,Soviet soviets, Chinese danwei,<unknown>
Singaporean Technocracy,Computational Autocracy,Caning penalties,Expertise,Standing army,Algorithmic policy,Land reclamation,Secular pragmatism,Co-optation,Reform: Revolutionary corporatism (block-level),Meritocratic one-party state with predictive governance,Venetian Republic, Qin legalism,<unknown>
Botswana Tribal Democracy,Resource Traditionalism,Chiefs' courts,Tribal authority,Standing army,Kgotla consensus,Wildlife conservation,Christian/Animist,Elections,Reform: Computational autocracy (predictive governance),Diamond-rich constitutional monarchy with tribal kgotlas,Norwegian SWF, Ashanti golden stool,<unknown>
Tanzanian Ujamaa Villages,Participatory Socialism,Community courts,Self-reliance,Tribal militias,Village councils,Soil conservation,African socialism,Election,Reform: Resource traditionalism (diamond-funded),Julius Nyerere's African socialist collectivization,Israeli kibbutzim, Soviet kolkhozes,<unknown>
United Arab Emirates Tribal Technocracy,Neo-Tribal Autocracy,Sharia courts,Oil wealth,Standing army,Royal decrees,Solar farms,Islam,Hereditary,Collapse/Rebirth: Microstate autonomy (offshore platform),Bedouin monarchy with futuristic city-states,Venetian merchant rule, Singaporean planning,<unknown>
Libyan Jamahiriya,Direct People's Authority,Revolutionary committees,Charismatic rule,Standing army,Basic People's Congresses,Desert irrigation,Third International Theory,Consensus,Syncretism: Neo-tribal autocracy (futurism),Gaddafi's 'state of the masses' with direct congresses,Athenian democracy, Soviet soviet system,<unknown>
Nordic Sami Parliaments,Ethnic Autonomy,Reconciliation panels,Cultural rights,Non-violent resistance,Assembly votes,Land use planning,Animism/Christianity,Election,Collapse/Rebirth: Direct people's authority (Gaddafi experiment),Indigenous representative bodies with limited sovereignty,Inuit circumpolar council, Native American tribes,<unknown>
Norwegian Sovereign Wealth Democracy,Petro-Social Democracy,Ombudsman courts,Resource trust,Standing army,Ethical guidelines,Pension fund ethics,Secularism,Elections,Reform: Ethnic autonomy (indigenous representation),Oil-funded welfare state with transparency mechanisms,Alaska Permanent Fund, UAE investment,<unknown>
